id,storeId,category,sub_category,name,brand,quantity,quantity_value,quantity_unit,quantity_items,quantity_total,primaryPrice,primaryPriceUnit,secondaryPrice,secondaryPriceUnit
1070,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas marinheiras chia,nacional,emb. 200 gr,200.0,g,1,200.0,1.84,un,9.2,kg
1071,1,Mercearia,"Bolachas, Biscoitos e Tostas",bolachas crackers sal,gran pavesi,emb. 560 gr (10 un),56.0,g,10,560.0,3.99,un,7.13,kg
1075,1,Mercearia,"Chocolate, Gomas e Rebuçados",snack chocolate biscoito caramelo mini,twix,emb. 227 gr,227.0,g,1,227.0,4.09,un,18.02,kg
1076,1,Mercearia,"Chocolate, Gomas e Rebuçados",snack chocolate amendoim caramelo mini,snickers,emb. 227 gr,227.0,g,1,227.0,4.09,un,18.02,kg
1077,1,Mercearia,"Chocolate, Gomas e Rebuçados",caramelos fruta,continente,emb. 450 gr,450.0,g,1,450.0,2.29,un,5.09,kg
1078,1,Mercearia,"Chocolate, Gomas e Rebuçados",snack chocolate leite bueno,kinder,emb. 344 gr (8 un),43.0,g,8,344.0,7.79,un,22.65,kg
1086,1,Mercearia,"Chocolate, Gomas e Rebuçados",tablete chocolate negro caramelo,jubileu,emb. 100 gr,100.0,g,1,100.0,4.59,un,45.9,kg
1092,1,Mercearia,"Chocolate, Gomas e Rebuçados",tablete chocolate leite,milka,emb. 250 gr,250.0,g,1,250.0,5.99,un,23.96,kg
1093,1,Mercearia,"Chocolate, Gomas e Rebuçados",tablete chocolate leite,continente,emb.100 gr,100.0,g,1,100.0,1.09,un,10.9,kg
1096,1,Mercearia,"Chocolate, Gomas e Rebuçados",pastilhas elasticas spearmint,trident,"emb. 82,5 gr",82.5,g,1,82.5,1.94,un,23.37,kg
1097,1,Mercearia,"Chocolate, Gomas e Rebuçados",tablete chocolate negro,continente,emb. 100 gr,100.0,g,1,100.0,1.29,un,12.9,kg
1112,1,Mercearia,"Arroz, Massa e Farinha",arroz agulha,bom sucesso,emb. 1 kg,1000.0,g,1,1000.0,1.59,un,1.59,kg
1125,1,Mercearia,"Arroz, Massa e Farinha",arroz agulha selecionado,continente,emb. 1 kg,1000.0,g,1,1000.0,1.45,un,1.45,kg
1127,1,Mercearia,"Arroz, Massa e Farinha",arroz basmati,saludães,emb. 1 kg,1000.0,g,1,1000.0,2.89,un,2.89,kg
1130,1,Mercearia,"Arroz, Massa e Farinha",massa espirais fusilli tricolor,milaneza,emb. 500 gr,500.0,g,1,500.0,1.26,un,2.52,kg
1133,1,Mercearia,"Arroz, Massa e Farinha",massa macarronete penne riscado,milaneza,emb. 500 gr,500.0,g,1,500.0,0.98,un,1.96,kg
1135,1,Mercearia,"Arroz, Massa e Farinha",noodles carne pot,koala,emb. 65 gr,65.0,g,1,65.0,1.19,un,18.31,kg
1137,1,Mercearia,"Arroz, Massa e Farinha",arroz thai jasmim,continente,emb. 1 kg,1000.0,g,1,1000.0,1.99,un,1.99,kg
1139,1,Mercearia,"Arroz, Massa e Farinha",massa fusilli,barilla,emb. 500 gr,500.0,g,1,500.0,1.64,un,3.28,kg
1142,1,Mercearia,"Arroz, Massa e Farinha",massa fusilli tricolor,continente,emb. 500 gr,500.0,g,1,500.0,0.89,un,1.78,kg
1145,1,Mercearia,"Arroz, Massa e Farinha",noodles,koka,emb. 85 gr,85.0,g,1,85.0,0.99,un,11.65,kg
1147,1,Mercearia,"Azeite, Óleo e Vinagre",azeite virgem classico,oliveira da serra,emb. 2 lt,2000.0,ml,1,2000.0,15.19,un,7.59,lt
1154,1,Mercearia,"Azeite, Óleo e Vinagre",oleo girassol puro,fula,emb. 1 lt,1000.0,ml,1,1000.0,1.89,un,1.89,lt
1155,1,Mercearia,"Azeite, Óleo e Vinagre",azeite virgem sublime,gallo,emb. 75 cl,750.0,ml,1,750.0,5.99,un,7.99,lt
1159,1,Mercearia,"Azeite, Óleo e Vinagre",azeite virgem spray,oliveira da serra,emb. 20 cl,200.0,ml,1,200.0,2.59,un,12.95,lt
1163,1,Mercearia,"Azeite, Óleo e Vinagre",oleo alimentar especial fritura,fula,emb. 3 lt,3000.0,ml,1,3000.0,5.7,un,1.9,lt
1172,1,Mercearia,"Azeite, Óleo e Vinagre",oleo girassol,fula,emb. 3 lt,3000.0,ml,1,3000.0,5.7,un,1.9,lt
1177,1,Mercearia,"Azeite, Óleo e Vinagre",vinagre sidra,continente,emb. 1 lt,1000.0,ml,1,1000.0,0.85,un,0.85,lt
1178,1,Mercearia,"Azeite, Óleo e Vinagre",azeite virgem sublime,gallo,emb. 2 lt,2000.0,ml,1,2000.0,15.49,un,7.75,lt
1184,1,Mercearia,Conservas,salsichas frankfurt lata,continente,emb. 380 gr (peso escorrido 250 gr),250.0,g,1,250.0,1.19,un,4.76,kg
1192,1,Mercearia,Conservas,atum posta oleo vegetal,continente,emb. 120 gr (peso escorrido 85 gr),85.0,g,1,85.0,0.93,un,10.94,kg
1199,1,Mercearia,Conservas,atum posta azeite,bolina,emb. 120 gr (peso escorrido 78 gr),78.0,g,1,78.0,1.19,un,15.26,kg
1201,1,Mercearia,Conservas,milho doce gluten,bonduelle,emb. 3 x 140 gr (peso escorrido 3 x 72 gr),140.0,g,3,420.0,2.59,un,6.17,kg
1207,1,Mercearia,Conservas,grao bico,continente,emb. 830 gr (peso escorrido 520 gr),520.0,g,1,520.0,1.09,un,2.1,kg
1208,1,Mercearia,Conservas,salsichas aves lata,continente,emb. 350 gr (peso escorrido 200 gr),200.0,g,1,200.0,1.09,un,5.45,kg
1214,1,Mercearia,Conservas,atum natural,tritão,emb. 270 gr,270.0,g,1,270.0,2.49,un,9.22,kg
1215,1,Mercearia,Conservas,filete atum azeite,continente seleção,emb. 120 gr (peso escorrido 85 gr),85.0,g,1,85.0,1.85,un,21.76,kg
1216,1,Mercearia,Conservas,atum posta oleo,continente,emb. 385 gr (peso escorrido 250 gr),250.0,g,1,250.0,2.69,un,10.76,kg
1218,1,Mercearia,"Molhos, Temperos e Sal",tomate pedacos,continente,emb. 390 gr,390.0,g,1,390.0,0.89,un,2.28,kg
1219,1,Mercearia,"Molhos, Temperos e Sal",leite coco,continente,emb. 400 ml,400.0,ml,1,400.0,1.59,un,3.98,lt
1222,1,Mercearia,"Molhos, Temperos e Sal",leite coco,ayam,emb. 200 ml,200.0,ml,1,200.0,1.69,un,8.45,lt
1223,1,Mercearia,"Molhos, Temperos e Sal",polpa tomate,continente,emb. 3 x 210 gr,210.0,g,3,630.0,1.49,un,2.37,kg
1224,1,Mercearia,"Molhos, Temperos e Sal",flor sal,marnoto,emb. 250 gr,250.0,g,1,250.0,1.84,un,7.36,kg
1226,1,Mercearia,"Molhos, Temperos e Sal",polpa tomate,compal da horta,emb. 3 x 210 gr,210.0,g,3,630.0,1.89,un,3.0,kg
1227,1,Mercearia,"Molhos, Temperos e Sal",polpa tomate,continente,emb. 1 kg,1000.0,g,1,1000.0,1.89,un,1.89,kg
